2026/08/17 22:42:25.288, 0, 1650, 111.41, 1
2026/08/17 22:42:25.293, 1, 1650, 114.85, 1
2026/08/17 22:42:25.297, 2, 1650, 114.57, 1
2026/08/17 22:42:25.303, 3, 1650, 120.35, 1
2026/08/17 22:42:25.532, 0, 1650, 110.92, 1
2026/08/17 22:42:25.537, 1, 1650, 114.04, 1
2026/08/17 22:42:25.541, 2, 1650, 114.14, 1
2026/08/17 22:42:25.545, 3, 1650, 119.59, 1
2026/08/17 22:42:25.778, 0, 1650, 111.30, 1
2026/08/17 22:42:25.782, 1, 1650, 114.64, 1
2026/08/17 22:42:25.787, 2, 1650, 114.36, 1
2026/08/17 22:42:25.791, 3, 1650, 119.99, 1
2026/08/17 22:42:26.031, 0, 1650, 111.30, 1
2026/08/17 22:42:26.036, 1, 1650, 114.64, 1
2026/08/17 22:42:26.040, 2, 1650, 114.36, 1
2026/08/17 22:42:26.044, 3, 1650, 119.99, 1
2026/08/17 22:42:26.292, 0, 1650, 111.30, 1
2026/08/17 22:42:26.299, 1, 1650, 114.64, 1
2026/08/17 22:42:26.306, 2, 1650, 114.36, 1
2026/08/17 22:42:26.312, 3, 1650, 119.99, 1
2026/08/17 22:42:26.576, 0, 1650, 111.30, 1
2026/08/17 22:42:26.583, 1, 1650, 114.64, 1
2026/08/17 22:42:26.590, 2, 1650, 114.36, 1
2026/08/17 22:42:26.596, 3, 1650, 119.99, 1
2026/08/17 22:42:26.859, 0, 345, 79.24, 1
2026/08/17 22:42:26.866, 1, 345, 84.29, 1
2026/08/17 22:42:26.874, 2, 315, 97.25, 1
2026/08/17 22:42:26.879, 3, 1065, 99.50, 1
2026/08/17 22:42:27.143, 0, 345, 79.24, 1
2026/08/17 22:42:27.150, 1, 345, 84.29, 1
2026/08/17 22:42:27.157, 2, 315, 97.25, 1
2026/08/17 22:42:27.163, 3, 1065, 99.50, 1
2026/08/17 22:42:27.426, 0, 345, 79.24, 1
2026/08/17 22:42:27.433, 1, 345, 84.29, 1
2026/08/17 22:42:27.440, 2, 315, 97.25, 1
2026/08/17 22:42:27.447, 3, 1065, 99.50, 1
2026/08/17 22:42:27.725, 0, 225, 58.09, 1
2026/08/17 22:42:27.732, 1, 225, 64.33, 1
2026/08/17 22:42:27.740, 2, 210, 73.37, 1
