2026/08/18 01:44:50.728, 0, 1650, 113.78, 1
2026/08/18 01:44:50.733, 1, 1650, 118.36, 1
2026/08/18 01:44:50.737, 2, 1650, 117.36, 1
2026/08/18 01:44:50.742, 3, 1650, 120.15, 1
2026/08/18 01:44:50.970, 0, 1650, 113.12, 1
2026/08/18 01:44:50.974, 1, 1650, 117.35, 1
2026/08/18 01:44:50.979, 2, 1650, 116.52, 1
2026/08/18 01:44:50.983, 3, 1650, 118.82, 1
2026/08/18 01:44:51.212, 0, 1650, 113.32, 1
2026/08/18 01:44:51.217, 1, 1650, 117.93, 1
2026/08/18 01:44:51.221, 2, 1650, 116.73, 1
2026/08/18 01:44:51.226, 3, 1650, 119.27, 1
2026/08/18 01:44:51.462, 0, 1650, 113.32, 1
2026/08/18 01:44:51.467, 1, 1650, 117.93, 1
2026/08/18 01:44:51.471, 2, 1650, 116.73, 1
2026/08/18 01:44:51.476, 3, 1650, 119.27, 1
2026/08/18 01:44:51.719, 0, 1650, 113.32, 1
2026/08/18 01:44:51.727, 1, 1650, 117.93, 1
2026/08/18 01:44:51.734, 2, 1650, 116.73, 1
2026/08/18 01:44:51.740, 3, 1650, 119.27, 1
2026/08/18 01:44:51.998, 0, 1650, 113.32, 1
2026/08/18 01:44:52.005, 1, 1650, 117.93, 1
2026/08/18 01:44:52.012, 2, 1650, 116.73, 1
2026/08/18 01:44:52.019, 3, 1650, 119.27, 1
2026/08/18 01:44:52.283, 0, 375, 74.46, 1
2026/08/18 01:44:52.290, 1, 375, 79.60, 1
2026/08/18 01:44:52.297, 2, 330, 89.99, 1
2026/08/18 01:44:52.304, 3, 1095, 99.56, 1
2026/08/18 01:44:52.567, 0, 375, 74.46, 1
2026/08/18 01:44:52.575, 1, 375, 79.60, 1
2026/08/18 01:44:52.582, 2, 330, 89.99, 1
2026/08/18 01:44:52.589, 3, 1095, 99.56, 1
2026/08/18 01:44:52.875, 0, 375, 74.46, 1
2026/08/18 01:44:52.883, 1, 375, 79.60, 1
2026/08/18 01:44:52.891, 2, 330, 89.99, 1
2026/08/18 01:44:52.898, 3, 1095, 99.56, 1
2026/08/18 01:44:53.169, 0, 375, 56.21, 1
2026/08/18 01:44:53.177, 1, 375, 79.60, 1
2026/08/18 01:44:53.184, 2, 210, 64.32, 1
2026/08/18 01:44:53.190, 3, 990, 79.53, 1
2026/08/18 01:44:53.454, 0, 240, 56.21, 1
2026/08/18 01:44:53.462, 1, 240, 61.64, 1
2026/08/18 01:44:53.470, 2, 210, 64.32, 1
2026/08/18 01:44:53.477, 3, 990, 79.53, 1
2026/08/18 01:44:53.740, 0, 240, 56.21, 1
2026/08/18 01:44:53.749, 1, 240, 61.64, 1
2026/08/18 01:44:53.758, 2, 210, 64.32, 1
