2026/08/17 19:06:08.129, 0, 1650, 112.76, 1
2026/08/17 19:06:08.134, 1, 1650, 115.87, 1
2026/08/17 19:06:08.138, 2, 1650, 115.88, 1
2026/08/17 19:06:08.143, 3, 1650, 119.52, 1
2026/08/17 19:06:08.374, 0, 1650, 111.86, 1
2026/08/17 19:06:08.378, 1, 1650, 115.03, 1
2026/08/17 19:06:08.382, 2, 1650, 114.84, 1
2026/08/17 19:06:08.387, 3, 1650, 119.11, 1
2026/08/17 19:06:08.619, 0, 1650, 112.12, 1
2026/08/17 19:06:08.624, 1, 1650, 115.66, 1
2026/08/17 19:06:08.628, 2, 1650, 114.92, 1
2026/08/17 19:06:08.632, 3, 1650, 119.53, 1
2026/08/17 19:06:08.870, 0, 1650, 112.12, 1
2026/08/17 19:06:08.874, 1, 1650, 115.66, 1
2026/08/17 19:06:08.879, 2, 1650, 114.92, 1
2026/08/17 19:06:08.883, 3, 1650, 119.53, 1
2026/08/17 19:06:09.133, 0, 1650, 112.12, 1
2026/08/17 19:06:09.140, 1, 1650, 115.66, 1
2026/08/17 19:06:09.146, 2, 1650, 114.92, 1
2026/08/17 19:06:09.153, 3, 1650, 119.53, 1
2026/08/17 19:06:09.415, 0, 1650, 112.12, 1
2026/08/17 19:06:09.422, 1, 1650, 115.66, 1
2026/08/17 19:06:09.429, 2, 1650, 114.92, 1
2026/08/17 19:06:09.435, 3, 1650, 119.53, 1
2026/08/17 19:06:09.701, 0, 330, 91.01, 1
2026/08/17 19:06:09.708, 1, 360, 79.27, 1
2026/08/17 19:06:09.715, 2, 345, 94.79, 1
2026/08/17 19:06:09.722, 3, 1095, 96.33, 1
2026/08/17 19:06:09.984, 0, 330, 91.01, 1
2026/08/17 19:06:09.991, 1, 360, 79.27, 1
2026/08/17 19:06:09.998, 2, 345, 94.79, 1
2026/08/17 19:06:10.004, 3, 1095, 96.33, 1
2026/08/17 19:06:10.268, 0, 330, 91.01, 1
2026/08/17 19:06:10.275, 1, 360, 79.27, 1
2026/08/17 19:06:10.283, 2, 345, 94.79, 1
2026/08/17 19:06:10.290, 3, 1095, 96.33, 1
2026/08/17 19:06:10.552, 0, 330, 71.45, 1
2026/08/17 19:06:10.559, 1, 360, 61.50, 1
2026/08/17 19:06:10.568, 2, 225, 66.67, 1
2026/08/17 19:06:10.574, 3, 990, 79.46, 1
2026/08/17 19:06:10.838, 0, 210, 71.45, 1
2026/08/17 19:06:10.845, 1, 225, 61.50, 1
2026/08/17 19:06:10.853, 2, 225, 66.67, 1
2026/08/17 19:06:10.860, 3, 990, 79.46, 1
2026/08/17 19:06:11.122, 0, 210, 71.45, 1
2026/08/17 19:06:11.131, 1, 225, 61.50, 1
2026/08/17 19:06:11.141, 2, 225, 66.67, 1
2026/08/17 19:06:11.148, 3, 990, 79.46, 1
2026/08/17 19:06:11.406, 0, 210, 71.45, 1
2026/08/17 19:06:11.413, 1, 225, 61.50, 1
2026/08/17 19:06:11.423, 2, 225, 66.67, 1
2026/08/17 19:06:11.433, 3, 990, 79.46, 1
2026/08/17 19:06:11.706, 0, 210, 47.24, 1
2026/08/17 19:06:11.713, 1, 210, 45.81, 1
2026/08/17 19:06:11.721, 2, 210, 40.07, 1
2026/08/17 19:06:11.730, 3, 930, 55.12, 1
2026/08/17 19:06:11.992, 0, 210, 47.24, 1
2026/08/17 19:06:12.002, 1, 210, 45.81, 1
2026/08/17 19:06:12.011, 2, 210, 40.07, 1
2026/08/17 19:06:12.020, 3, 930, 55.12, 1
2026/08/17 19:06:12.288, 0, 210, 47.24, 1
2026/08/17 19:06:12.297, 1, 210, 45.81, 1
2026/08/17 19:06:12.306, 2, 210, 40.07, 1
2026/08/17 19:06:12.314, 3, 930, 55.12, 1
2026/08/17 19:06:12.591, 0, 210, 38.78, 1
2026/08/17 19:06:12.601, 1, 210, 44.04, 1
2026/08/17 19:06:12.610, 2, 210, 38.99, 1
2026/08/17 19:06:12.618, 3, 840, 45.11, 1
2026/08/17 19:06:12.890, 0, 210, 38.78, 1
2026/08/17 19:06:12.899, 1, 210, 44.04, 1
2026/08/17 19:06:12.908, 2, 210, 38.99, 1
2026/08/17 19:06:12.917, 3, 840, 45.11, 1
2026/08/17 19:06:13.191, 0, 210, 38.78, 1
2026/08/17 19:06:13.200, 1, 210, 44.04, 1
2026/08/17 19:06:13.209, 2, 210, 38.99, 1
2026/08/17 19:06:13.218, 3, 840, 45.11, 1
2026/08/17 19:06:13.490, 0, 210, 38.78, 1
2026/08/17 19:06:13.500, 1, 210, 44.04, 1
2026/08/17 19:06:13.509, 2, 210, 38.40, 1
2026/08/17 19:06:13.517, 3, 840, 45.11, 1
2026/08/17 19:06:13.792, 0, 210, 36.70, 1
2026/08/17 19:06:13.802, 1, 210, 43.90, 1
2026/08/17 19:06:13.811, 2, 210, 38.40, 1
2026/08/17 19:06:13.819, 3, 795, 44.65, 1
2026/08/17 19:06:14.125, 0, 1650, 39.84, 290
2026/08/17 19:06:14.130, 1, 210, 43.90, 1
2026/08/17 19:06:14.139, 2, 210, 38.40, 1
2026/08/17 19:06:14.148, 3, 795, 44.65, 1
2026/08/17 19:06:14.419, 0, 1530, 58.35, 290
2026/08/17 19:06:14.425, 1, 210, 43.90, 1
2026/08/17 19:06:14.433, 2, 210, 38.40, 1
2026/08/17 19:06:14.442, 3, 795, 44.65, 1
2026/08/17 19:06:14.703, 0, 1575, 124.42, 310
2026/08/17 19:06:14.708, 1, 210, 43.91, 1
2026/08/17 19:06:14.717, 2, 210, 38.29, 1
2026/08/17 19:06:14.726, 3, 720, 44.17, 1
2026/08/17 19:06:14.971, 0, 1650, 126.00, 310
2026/08/17 19:06:14.976, 1, 210, 43.91, 1
2026/08/17 19:06:14.986, 2, 210, 38.29, 1
2026/08/17 19:06:14.995, 3, 720, 44.17, 1
2026/08/17 19:06:15.254, 0, 1650, 159.03, 310
2026/08/17 19:06:15.260, 1, 210, 43.91, 1
2026/08/17 19:06:15.270, 2, 210, 38.29, 1
2026/08/17 19:06:15.280, 3, 720, 44.17, 1
2026/08/17 19:06:15.537, 0, 1650, 137.37, 310
2026/08/17 19:06:15.542, 1, 210, 43.85, 1
2026/08/17 19:06:15.551, 2, 210, 38.22, 1
2026/08/17 19:06:15.560, 3, 690, 43.80, 1
2026/08/17 19:06:15.805, 0, 1650, 127.21, 310
2026/08/17 19:06:15.810, 1, 210, 43.85, 1
2026/08/17 19:06:15.818, 2, 210, 38.22, 1
2026/08/17 19:06:15.827, 3, 690, 43.80, 1
2026/08/17 19:06:16.093, 0, 1650, 110.51, 307
2026/08/17 19:06:16.098, 1, 210, 43.85, 1
2026/08/17 19:06:16.107, 2, 210, 38.22, 1
2026/08/17 19:06:16.115, 3, 690, 43.80, 1
2026/08/17 19:06:16.459, 0, 1650, 110.91, 1
2026/08/17 19:06:16.463, 1, 210, 43.85, 1
2026/08/17 19:06:16.472, 2, 210, 38.22, 1
2026/08/17 19:06:16.481, 3, 690, 43.80, 1
2026/08/17 19:06:16.745, 0, 1650, 111.43, 1
2026/08/17 19:06:16.749, 1, 210, 43.81, 1
2026/08/17 19:06:16.758, 2, 210, 38.70, 1
2026/08/17 19:06:16.766, 3, 210, 43.34, 1
2026/08/17 19:06:17.011, 0, 1650, 111.54, 1
2026/08/17 19:06:17.016, 1, 210, 43.81, 1
2026/08/17 19:06:17.024, 2, 210, 38.70, 1
2026/08/17 19:06:17.033, 3, 210, 43.34, 1
2026/08/17 19:06:17.293, 0, 1650, 112.08, 1
2026/08/17 19:06:17.297, 1, 210, 43.81, 1
2026/08/17 19:06:17.306, 2, 210, 38.70, 1
2026/08/17 19:06:17.314, 3, 210, 43.34, 1
2026/08/17 19:06:17.579, 0, 1650, 112.08, 1
2026/08/17 19:06:17.586, 1, 210, 43.65, 1
2026/08/17 19:06:17.596, 2, 210, 38.72, 1
2026/08/17 19:06:17.604, 3, 210, 39.81, 1
2026/08/17 19:06:17.873, 0, 1650, 112.08, 1
2026/08/17 19:06:17.881, 1, 210, 43.65, 1
2026/08/17 19:06:17.890, 2, 210, 38.72, 1
2026/08/17 19:06:17.900, 3, 210, 39.81, 1
2026/08/17 19:06:18.178, 0, 1650, 66.64, 1
2026/08/17 19:06:18.185, 1, 210, 43.65, 1
2026/08/17 19:06:18.193, 2, 210, 38.72, 1
2026/08/17 19:06:18.202, 3, 210, 39.81, 1
2026/08/17 19:06:18.480, 0, 300, 66.64, 1
2026/08/17 19:06:18.489, 1, 210, 43.65, 1
2026/08/17 19:06:18.498, 2, 210, 38.25, 1
2026/08/17 19:06:18.506, 3, 210, 39.81, 1
2026/08/17 19:06:18.779, 0, 300, 66.64, 1
2026/08/17 19:06:18.788, 1, 210, 43.72, 1
2026/08/17 19:06:18.796, 2, 210, 38.25, 1
